Income,Limit,Rating,Age,Education,Student,Married,Balance
14.891,3606,283,34,11,No,Yes,Low
106.025,6645,483,82,15,Yes,Yes,Medium
104.593,7075,514,71,11,No,No,Medium
148.924,9504,681,36,11,No,No,Medium
55.882,4897,357,68,16,No,Yes,Low
80.18,8047,569,77,10,No,No,High
20.996,3388,259,37,12,No,No,Low
71.408,7114,512,87,9,No,No,Medium
15.125,3300,266,66,13,No,No,Low
71.061,6819,491,41,19,Yes,Yes,High
63.095,8117,589,30,14,No,Yes,High
15.045,1311,138,64,16,No,No,Low
80.616,5308,394,57,7,No,Yes,Low
43.682,6922,511,49,9,No,Yes,High
19.144,3291,269,75,13,No,No,Low
20.089,2525,200,57,15,No,Yes,Low
53.598,3714,286,73,17,No,Yes,Low
36.496,4378,339,69,15,No,Yes,Low
49.57,6384,448,28,9,No,Yes,Medium
42.079,6626,479,44,9,No,No,High
17.7,2860,235,63,16,No,No,Low
37.348,6378,458,72,17,No,No,Medium
20.103,2631,213,61,10,No,Yes,Low
64.027,5179,398,48,8,No,Yes,Low
10.742,1757,156,57,15,No,No,Low
14.09,4323,326,25,16,No,Yes,Medium
42.471,3625,289,44,12,Yes,No,Medium
32.793,4534,333,44,16,No,No,Low
186.634,13414,949,41,14,No,Yes,High
26.813,5611,411,55,16,No,No,Medium
34.142,5666,413,47,5,No,Yes,Medium
28.941,2733,210,43,16,No,Yes,Low
134.181,7838,563,48,13,No,No,Medium
31.367,1829,162,30,10,No,Yes,Low
20.15,2646,199,25,14,No,Yes,Low
23.35,2558,220,49,12,Yes,No,Low
62.413,6457,455,71,11,No,Yes,Medium
30.007,6481,462,69,9,No,Yes,High
11.795,3899,300,25,10,No,No,Medium
13.647,3461,264,47,14,No,Yes,Low
34.95,3327,253,54,14,No,No,Low
113.659,7659,538,66,15,Yes,Yes,High
44.158,4763,351,66,13,No,Yes,Low
36.929,6257,445,24,14,No,Yes,Medium
31.861,6375,469,25,16,No,Yes,High
77.38,7569,564,50,12,No,Yes,Medium
19.531,5043,376,64,16,Yes,Yes,High
44.646,4431,320,49,15,Yes,Yes,Medium
44.522,2252,205,72,15,No,Yes,Low
43.479,4569,354,49,13,Yes,Yes,Medium
36.362,5183,376,49,15,No,Yes,Medium
39.705,3969,301,27,20,No,Yes,Low
44.205,5441,394,32,12,No,Yes,Medium
16.304,5466,413,66,10,No,Yes,Medium
15.333,1499,138,47,9,No,Yes,Low
32.916,1786,154,60,8,No,Yes,Low
57.1,4742,372,79,18,No,Yes,Low
76.273,4779,367,65,14,No,Yes,Low
10.354,3480,281,70,17,No,Yes,Low
51.872,5294,390,81,17,No,No,Medium
35.51,5198,364,35,20,No,No,Medium
21.238,3089,254,59,10,No,No,Low
30.682,1671,160,77,7,No,No,Low
14.132,2998,251,75,17,No,No,Low
32.164,2937,223,79,15,No,Yes,Low
12,4160,320,28,14,No,Yes,Medium
113.829,9704,694,38,13,No,Yes,High
11.187,5099,380,69,16,No,No,Medium
27.847,5619,418,78,15,No,Yes,Medium
49.502,6819,505,55,14,No,Yes,High
24.889,3954,318,75,12,No,Yes,Low
58.781,7402,538,81,12,No,Yes,High
22.939,4923,355,47,18,No,Yes,Medium
23.989,4523,338,31,15,No,No,Medium
16.103,5390,418,45,10,No,Yes,Medium
33.017,3180,224,28,16,No,Yes,Low
30.622,3293,251,68,16,Yes,No,Medium
20.936,3254,253,30,15,No,No,Low
110.968,6662,468,45,11,No,Yes,Low
15.354,2101,171,65,14,No,No,Low
27.369,3449,288,40,9,No,Yes,Low
53.48,4263,317,83,15,No,No,Low
23.672,4433,344,63,11,No,No,Medium
19.225,1433,122,38,14,No,No,Low
43.54,2906,232,69,11,No,No,Low
152.298,12066,828,41,12,No,Yes,High
55.367,6340,448,33,15,No,Yes,Medium
11.741,2271,182,59,12,No,No,Low
15.56,4307,352,57,8,No,Yes,Medium
59.53,7518,543,52,9,No,No,High
20.191,5767,431,42,16,No,Yes,High
48.498,6040,456,47,16,No,Yes,Medium
30.733,2832,249,51,13,No,No,Low
16.479,5435,388,26,16,No,No,Medium
38.009,3075,245,45,15,No,No,Low
14.084,855,120,46,17,No,Yes,Low
14.312,5382,367,59,17,Yes,No,High
26.067,3388,266,74,17,No,Yes,Low
36.295,2963,241,68,14,Yes,No,Low
83.851,8494,607,47,18,No,No,High
21.153,3736,256,41,11,No,No,Low
17.976,2433,190,70,16,Yes,No,Low
68.713,7582,531,56,16,Yes,No,High
146.183,9540,682,66,15,No,No,High
15.846,4768,365,53,12,No,No,Medium
12.031,3182,259,58,18,No,Yes,Low
16.819,1337,115,74,15,No,Yes,Low
39.11,3189,263,72,12,No,No,Low
107.986,6033,449,64,14,No,Yes,Low
13.561,3261,279,37,19,No,Yes,Low
